runner,season,timeofday,distance,avghr,maxhr,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course
Adam,SPRING,AFTERNOON,3.14,167,187,192,7.272727273,9.65,92,167,-75,DOWNHILL
Adam,SPRING,NIGHT,2,155,181,175,7.302231237,10.11,16,164,-148,DOWNHILL
Adam,SPRING,NIGHT,3.14,164,179,196,7.214428858,11.29,75,469,-394,DOWNHILL
Adam,SPRING,AFTERNOON,3.14,176,196,168,7.346938776,18.56,52,177,-125,DOWNHILL
Adam,SPRING,MORNING,3.14,171,193,185,7.086614173,8.98,62,59,3,FLAT
Adam,SPRING,EVENING,3.15,170,182,196,6.976744186,12.46,66,157,-91,DOWNHILL
Adam,SPRING,EVENING,2.72,151,182,174,4.986149584,9.76,72,157,-85,DOWNHILL
Adam,WINTER,AFTERNOON,2.01,171,187,183,7.317073171,9.14,43,154,-111,DOWNHILL
Adam,WINTER,EVENING,1.88,160,175,225,6.666666667,9.23,33,135,-102,DOWNHILL
Adam,WINTER,MORNING,4.18,160,176,197,6.271777003,8.87,207,184,23,UPHILL
Adam,WINTER,AFTERNOON,3.1,160,177,186,7.086614173,12.04,89,164,-75,DOWNHILL
Adam,WINTER,EVENING,3.11,146,173,198,6.25,10.17,82,171,-89,DOWNHILL
Adam,WINTER,EVENING,2.44,161,183,205,5.863192182,10.11,79,164,-85,DOWNHILL
Adam,WINTER,EVENING,2.47,154,180,182,5.930807249,9.76,69,174,-105,DOWNHILL
Adam,WINTER,AFTERNOON,4.54,154,180,233,5.705229794,9.94,115,197,-82,DOWNHILL
Adam,WINTER,EVENING,2.72,159,181,204,6.52173913,9.23,69,167,-98,DOWNHILL
Adam,WINTER,EVENING,2.8,156,180,199,6.71641791,9.45,98,180,-82,DOWNHILL
Adam,WINTER,MORNING,4.06,161,178,231,5.309734513,9.23,476,476,0,FLAT
Adam,AUTUMN,AFTERNOON,2.19,157,179,172,6.569343066,13.9,69,171,-102,DOWNHILL
Adam,AUTUMN,EVENING,2.5,162,183,228,6.896551724,9.23,72,167,-95,DOWNHILL
Adam,AUTUMN,EVENING,3.11,162,178,192,7.185628743,11.43,108,187,-79,DOWNHILL
Adam,AUTUMN,EVENING,3.11,167,180,196,7.243460765,12.16,95,187,-92,DOWNHILL
Adam,AUTUMN,EVENING,3.1,164,180,181,7.142857143,11.58,92,187,-95,DOWNHILL
Adam,AUTUMN,EVENING,3.05,172,184,199,7.171314741,10.65,79,180,-101,DOWNHILL
Adam,AUTUMN,MORNING,7.25,177,193,170,6.617647059,9.45,428,449,-21,DOWNHILL
Adam,AUTUMN,MORNING,1.45,151,178,166,6.010016694,8.89,17,20,-3,FLAT
Adam,AUTUMN,EVENING,2.16,159,175,178,6.691449814,14.81,58,146,-88,DOWNHILL
Adam,AUTUMN,EVENING,3.01,159,179,176,6.642066421,10.56,105,187,-82,DOWNHILL
Adam,AUTUMN,MORNING,13.27,164,192,234,5.89198036,11.92,933,934,-1,FLAT
Adam,AUTUMN,MORNING,4.26,153,168,180,6.40569395,9.65,232,230,2,FLAT
Adam,AUTUMN,AFTERNOON,3.1,157,180,172,6.428571429,9.7,74,171,-97,DOWNHILL
Adam,AUTUMN,MORNING,3.12,154,167,164,6.557377049,8.22,25,25,0,FLAT
Adam,AUTUMN,EVENING,6,163,180,198,7.243460765,12.24,191,278,-87,DOWNHILL
Adam,AUTUMN,EVENING,3.33,162,179,174,6.741573034,9.55,24,24,0,FLAT
Adam,AUTUMN,MORNING,6,160,185,174,6.498194946,12.33,113,198,-85,DOWNHILL
Adam,AUTUMN,MORNING,3.1,162,176,170,6.857142857,8.91,23,25,-2,FLAT
Adam,AUTUMN,EVENING,2.77,153,176,196,6.040268456,14.69,80,163,-83,DOWNHILL
Adam,SUMMER,MORNING,0.7,156,164,178,6.557377049,9.7,20,21,-1,FLAT
Adam,SUMMER,MORNING,5,159,183,180,6.754221388,13.38,46,46,0,FLAT
Adam,SUMMER,MORNING,3.1,157,166,170,6.883365201,10.62,23,25,-2,FLAT
Adam,SUMMER,NIGHT,3.1,147,166,186,6.581352834,11.58,63,149,-86,DOWNHILL
Adam,SUMMER,MORNING,4.23,160,192,170,6.451612903,11.58,40,40,0,FLAT
Adam,SUMMER,MORNING,5.56,150,170,172,6.394316163,11.25,56,55,1,FLAT
Adam,SUMMER,MORNING,2.85,154,171,168,6.394316163,16.74,59,56,3,FLAT
Adam,SUMMER,EVENING,4.05,166,182,168,6.691449814,10.2,66,199,-133,DOWNHILL
Adam,SUMMER,NIGHT,4,161,177,178,6.844106464,10.29,105,191,-86,DOWNHILL
Adam,SUMMER,MORNING,3.1,161,181,174,6.805293006,10.59,78,169,-91,DOWNHILL
Adam,SUMMER,EVENING,3.1,155,171,170,6.40569395,9.89,62,156,-94,DOWNHILL
Adam,SUMMER,EVENING,3.1,156,181,180,6.728971963,10.06,72,171,-99,DOWNHILL
Adam,SUMMER,MORNING,3.1,146,180,168,6.963249516,9.57,54,51,3,FLAT
Adam,SUMMER,MORNING,7.02,140,173,180,4.871447903,10.34,175,231,-56,DOWNHILL
Adam,SUMMER,NIGHT,4.01,156,189,170,6.728971963,9,113,194,-81,DOWNHILL
Adam,SUMMER,NIGHT,5.08,177,189,170,7.01754386,9.16,163,149,14,FLAT
Adam,SUMMER,EVENING,3.1,167,181,188,7.36196319,13.19,56,139,-83,DOWNHILL
Adam,SUMMER,NIGHT,5.01,160,176,186,6.923076923,12.86,140,222,-82,DOWNHILL
Adam,SUMMER,EVENING,2.63,153,174,178,5.940594059,11.39,74,156,-82,DOWNHILL
Adam,SUMMER,NIGHT,3.1,170,184,172,6.779661017,11.76,31,31,0,FLAT
Adam,SUMMER,EVENING,3.1,163,184,170,6.703910615,10,71,160,-89,DOWNHILL
